date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:47:16	338/338	---M--	200	added ('OK')	text/html	etag:%22152-49e5a42372c8b%22	http://fuego.sourceforge.net/fuego-doc-1.1/index.html	C:/Users/quentin/Dropbox/Go%20AI/Fuego/Fuego%20Documentation/fuego.sourceforge.net/fuego-doc-1.1/index.html	(from )
11:47:16	1689/1689	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2025%20Apr%202012%2017:47:16%20GMT	http://fuego.sourceforge.net/robots.txt		(from )
11:47:17	1107/1107	---M--	200	added ('OK')	text/html	etag:%22453-49e5a62d1bc24%22	http://fuego.sourceforge.net/fuego-doc-1.1/toc.html	C:/Users/quentin/Dropbox/Go%20AI/Fuego/Fuego%20Documentation/fuego.sourceforge.net/fuego-doc-1.1/toc.html	(from )
11:47:18	1196/1196	---M--	200	added ('OK')	text/html	etag:%224ac-49e5a616385d8%22	http://fuego.sourceforge.net/fuego-doc-1.1/main.html	C:/Users/quentin/Dropbox/Go%20AI/Fuego/Fuego%20Documentation/fuego.sourceforge.net/fuego-doc-1.1/main.html	(from )
11:47:18	8097/8097	---M--	200	added ('OK')	text/css	etag:%221fa1-49e5a61638681%22	http://fuego.sourceforge.net/fuego-doc-1.1/doxygen.css	C:/Users/quentin/Dropbox/Go%20AI/Fuego/Fuego%20Documentation/fuego.sourceforge.net/fuego-doc-1.1/doxygen.css	(from http://fuego.sourceforge.net/fuego-doc-1.1/index.html)
11:47:20	2215/2215	---M--	200	added ('OK')	text/html	etag:%228a7-49e5a59949edd%22	http://fuego.sourceforge.net/fuego-doc-1.1/gtpengine-doc/index.html	C:/Users/quentin/Dropbox/Go%20AI/Fuego/Fuego%20Documentation/fuego.sourceforge.net/fuego-doc-1.1/gtpengine-doc/index.html	(from http://fuego.sourceforge.net/fuego-doc-1.1/index.html)
11:47:21	3896/3896	---M--	200	added ('OK')	text/html	etag:%22f38-49e5a4522dac1%22	http://fuego.sourceforge.net/fuego-doc-1.1/smartgame-doc/index.html	C:/Users/quentin/Dropbox/Go%20AI/Fuego/Fuego%20Documentation/fuego.sourceforge.net/fuego-doc-1.1/smartgame-doc/index.html	(from http://fuego.sourceforge.net/fuego-doc-1.1/index.html)
11:47:22	3973/3973	---M--	200	added ('OK')	text/html	etag:%22f85-49e5a36e401c4%22	http://fuego.sourceforge.net/fuego-doc-1.1/go-doc/index.html	C:/Users/quentin/Dropbox/Go%20AI/Fuego/Fuego%20Documentation/fuego.sourceforge.net/fuego-doc-1.1/go-doc/index.html	(from http://fuego.sourceforge.net/fuego-doc-1.1/index.html)
11:47:23	2900/2900	---M--	200	added ('OK')	text/html	etag:%22b54-49e5a5baaad7a%22	http://fuego.sourceforge.net/fuego-doc-1.1/simpleplayers-doc/index.html	C:/Users/quentin/Dropbox/Go%20AI/Fuego/Fuego%20Documentation/fuego.sourceforge.net/fuego-doc-1.1/simpleplayers-doc/index.html	(from http://fuego.sourceforge.net/fuego-doc-1.1/index.html)
11:47:24	3241/3241	---M--	200	added ('OK')	text/html	etag:%22ca9-49e5a63981963%22	http://fuego.sourceforge.net/fuego-doc-1.1/gouct-doc/index.html	C:/Users/quentin/Dropbox/Go%20AI/Fuego/Fuego%20Documentation/fuego.sourceforge.net/fuego-doc-1.1/gouct-doc/index.html	(from http://fuego.sourceforge.net/fuego-doc-1.1/index.html)
11:47:25	2616/2616	---M--	200	added ('OK')	text/html	etag:%22a38-49e5a6afc31c5%22	http://fuego.sourceforge.net/fuego-doc-1.1/fuegotest-doc/index.html	C:/Users/quentin/Dropbox/Go%20AI/Fuego/Fuego%20Documentation/fuego.sourceforge.net/fuego-doc-1.1/fuegotest-doc/index.html	(from http://fuego.sourceforge.net/fuego-doc-1.1/index.html)
11:47:26	2365/2365	---M--	200	added ('OK')	text/html	etag:%2293d-49e5a61bf13a4%22	http://fuego.sourceforge.net/fuego-doc-1.1/fuegomain-doc/index.html	C:/Users/quentin/Dropbox/Go%20AI/Fuego/Fuego%20Documentation/fuego.sourceforge.net/fuego-doc-1.1/fuegomain-doc/index.html	(from http://fuego.sourceforge.net/fuego-doc-1.1/index.html)
11:47:27	1817/1817	---M--	200	added ('OK')	text/html	etag:%22719-49e5a6a080d56%22	http://fuego.sourceforge.net/fuego-doc-1.1/general/index.html	C:/Users/quentin/Dropbox/Go%20AI/Fuego/Fuego%20Documentation/fuego.sourceforge.net/fuego-doc-1.1/general/index.html	(from http://fuego.sourceforge.net/fuego-doc-1.1/index.html)
11:47:28	1350/1350	---M--	200	added ('OK')	text/html	etag:%22546-49e5a6aa0a2ab%22	http://fuego.sourceforge.net/fuego-doc-1.1/general/generalmodules.html	C:/Users/quentin/Dropbox/Go%20AI/Fuego/Fuego%20Documentation/fuego.sourceforge.net/fuego-doc-1.1/general/generalmodules.html	(from http://fuego.sourceforge.net/fuego-doc-1.1/index.html)
11:47:29	18573/18573	---M--	200	added ('OK')	image/jpeg	etag:%22488d-49e5a6172c9f4%22	http://fuego.sourceforge.net/fuego-doc-1.1/go.jpg	C:/Users/quentin/Dropbox/Go%20AI/Fuego/Fuego%20Documentation/fuego.sourceforge.net/fuego-doc-1.1/go.jpg	(from http://fuego.sourceforge.net/fuego-doc-1.1/index.html)
